ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism; Glycolysis / Gluconeogenesis
ko00020	Citrate cycle (TCA cycle)	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle)
ko00030	Pentose phosphate pathway	Metabolism; Carbohydrate metabolism; Pentose phosphate pathway
ko00040	Pentose and glucuronate interconversions	Metabolism; Carbohydrate metabolism; Pentose and glucuronate interconversions
ko00051	Fructose and mannose metabolism	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism
ko00052	Galactose metabolism	Metabolism; Carbohydrate metabolism; Galactose metabolism
ko00053	Ascorbate and aldarate metabolism	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism
ko00500	Starch and sucrose metabolism	Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism
ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism
ko00620	Pyruvate metabolism	Metabolism; Carbohydrate metabolism; Pyruvate metabolism
ko00630	Glyoxylate and dicarboxylate metabolism	Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism
ko00640	Propanoate metabolism	Metabolism; Carbohydrate metabolism; Propanoate metabolism
ko00650	Butanoate metabolism	Metabolism; Carbohydrate metabolism; Butanoate metabolism
ko00660	C5-Branched dibasic acid metabolism	Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism
ko00562	Inositol phosphate metabolism	Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism
ko00190	Oxidative phosphorylation	Metabolism; Energy metabolism; Oxidative phosphorylation
ko00195	Photosynthesis	Metabolism; Energy metabolism; Photosynthesis
ko00196	Photosynthesis - antenna proteins	Metabolism; Energy metabolism; Photosynthesis - antenna proteins
ko00710	Carbon fixation in photosynthetic organisms	Metabolism; Energy metabolism; Carbon fixation in photosynthetic organisms
ko00720	Carbon fixation pathways in prokaryotes	Metabolism; Energy metabolism; Carbon fixation pathways in prokaryotes
ko00680	Methane metabolism	Metabolism; Energy metabolism; Methane metabolism
ko00910	Nitrogen metabolism	Metabolism; Energy metabolism; Nitrogen metabolism
ko00920	Sulfur metabolism	Metabolism; Energy metabolism; Sulfur metabolism
ko00061	Fatty acid biosynthesis	Metabolism; Lipid metabolism; Fatty acid biosynthesis
ko00062	Fatty acid elongation	Metabolism; Lipid metabolism; Fatty acid elongation
ko00071	Fatty acid degradation	Metabolism; Lipid metabolism; Fatty acid degradation
ko00072	Synthesis and degradation of ketone bodies	Metabolism; Lipid metabolism; Synthesis and degradation of ketone bodies
ko00073	Cutin, suberine and wax biosynthesis	Metabolism; Lipid metabolism; Cutin, suberine and wax biosynthesis
ko00100	Steroid biosynthesis	Metabolism; Lipid metabolism; Steroid biosynthesis
ko00120	Primary bile acid biosynthesis	Metabolism; Lipid metabolism; Primary bile acid biosynthesis
ko00121	Secondary bile acid biosynthesis	Metabolism; Lipid metabolism; Secondary bile acid biosynthesis
ko00140	Steroid hormone biosynthesis	Metabolism; Lipid metabolism; Steroid hormone biosynthesis
ko00561	Glycerolipid metabolism	Metabolism; Lipid metabolism; Glycerolipid metabolism
ko00564	Glycerophospholipid metabolism	Metabolism; Lipid metabolism; Glycerophospholipid metabolism
ko00565	Ether lipid metabolism	Metabolism; Lipid metabolism; Ether lipid metabolism
ko00600	Sphingolipid metabolism	Metabolism; Lipid metabolism; Sphingolipid metabolism
ko00590	Arachidonic acid metabolism	Metabolism; Lipid metabolism; Arachidonic acid metabolism
ko00591	Linoleic acid metabolism	Metabolism; Lipid metabolism; Linoleic acid metabolism
ko00592	alpha-Linolenic acid metabolism	Metabolism; Lipid metabolism; alpha-Linolenic acid metabolism
ko01040	Biosynthesis of unsaturated fatty acids	Metabolism; Lipid metabolism; Biosynthesis of unsaturated fatty acids
ko00230	Purine metabolism	Metabolism; Nucleotide metabolism; Purine metabolism
ko00240	Pyrimidine metabolism	Metabolism; Nucleotide metabolism; Pyrimidine metabolism
ko00250	Alanine, aspartate and glutamate metabolism	Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism
