# Created by msize.pl, Mon Aug 10 14:32:32 2020, whith data from prokaryotes.csv, rnadb.txt and parents.txt
#Tax	Av size	Av copies	#Sizes	#Copies
class:Acidimicrobiia	3.56793	2	3	1
class:Acidithiobacillia	3.09636722222222	2	6	4
class:Acidobacteriia	5.91293818181818	1.22222222222222	11	9
class:Actinobacteria	5.13068468264523	3.72689497716895	616	438
class:Alphaproteobacteria	4.26255893834185	2.48605113636364	487	352
class:Anaerolineae	3.1430475	1.33333333333333	4	3
class:Aquificae	1.68100518181818	2.1	11	10
class:Archaeoglobi	1.94525928571429	1	7	7
class:Ardenticatenia	5.03397	1	1	1
class:Bacilli	3.32709215564178	7.11734536082474	470	388
class:Bacteroidia	4.01732374257026	4.17723404255319	63	47
class:Betaproteobacteria	4.70115937361633	3.78439655172414	316	232
class:Bivalvia	2.83269		1	
class:Blastocatellia	3.69537	1	1	1
class:Caldilineae	5.14487	2	1	1
class:Caldisericia	1.5581	1	1	1
class:Calditrichae	4.97854	1	1	1
class:Candidatus Babeliae	1.11842	1	1	1
class:Candidatus Brocadiae	4.37054	1	1	1
class:Candidatus Peribacteria	1.24807		1	
class:Chitinophagia	6.19284526041667	2.65909090909091	16	11
class:Chlamydiia	1.60003818087855	1.602	17	15
class:Chlorobia	2.59898097222222	1.81818181818182	12	11
class:Chloroflexia	5.651801	2.66666666666667	5	3
class:Chrysiogenetes	2.92838	3	1	1
class:Clostridia	3.50849328626069	6.01701986754967	186	151
class:Coprothermobacteria	1.42491	2	1	1
class:Coriobacteriia	2.48666815789474	2.5	19	14
class:Cytophagia	5.60085305167173	3	47	29
class:Deferribacteres	2.70114	2	5	5
class:Dehalococcoidia	1.6755248	1	5	3
class:Deinococci	3.14541412037037	2.82692307692308	30	26
class:Deltaproteobacteria	5.54383555526161	2.85484848484848	81	66
class:Dictyoglomia	1.907775	2	2	2
class:Elusimicrobia	1.64356	1	1	1
class:Endomicrobia	1.3643425	1	2	2
class:Epsilonproteobacteria	2.16347742054388	3.28397058823529	96	68
class:Erysipelotrichia	2.883473	8.12666666666667	10	3
class:Fibrobacteria	3.84282	3	1	1
class:Fimbriimonadia	5.23176	2	1	1
class:Flavobacteriia	3.7157736652509	3.84299065420561	152	107
class:Fusobacteriia	2.57017196388889	5.37736842105263	20	19
class:Gammaproteobacteria	4.2379326421257	5.63073732718894	821	651
class:Gemmatimonadetes	5.5029525	1.66666666666667	4	3
class:Gloeobacteria	4.691905	1	2	2
class:Halobacteria	3.64399234068627	2.26088888888889	68	45
class:Hydrogenophilalia	2.28878	3	1	1
class:Ignavibacteria	3.12109666666667	1	3	2
class:Insecta	4.09285		1	
class:Kiritimatiellae	2.94972	1	1	1
class:Ktedonobacteria	11.3406		1	
class:Lentisphaeria	5.24268		1	
class:Limnochordia	3.81704	2	1	1
class:Methanobacteria	2.17577935185185	2.28571428571429	18	14
class:Methanococci	1.67170982905983	2.23272727272727	13	11
class:Methanomicrobia	3.09746045238095	2.39285714285714	35	28
class:Methanopyri	1.69497	1	1	1
class:Methylacidiphilae	2.32195	1	3	3
class:Mollicutes	1.00614761259642	1.72491071428571	125	112
class:Nanohaloarchaea	1.017228		1	
class:Negativicutes	2.78774853333333	5.64705882352941	25	17
class:Nitriliruptoria	4.99626333333333	1.5	3	2
class:Nitrososphaeria	2.59597375	1.28571428571429	8	7
class:Nitrospira	3.38186166666667	1.42857142857143	9	7
class:Oligoflexia	3.46178071428571	1.65	7	4
class:Opitutae	5.211156	1.25	5	4
class:Phycisphaerae	3.74536666666667	2.33333333333333	6	3
class:Planctomycetia	7.54488269230769	2.35294117647059	26	17
class:Rubrobacteria	3.836941	1	5	4
class:Saprospiria	6.585915	2.5	2	2
class:Spartobacteria	0.915884	1	1	1
class:Sphingobacteriia	5.63658336904762	3.97058823529412	24	17
class:Spirochaetia	2.68170228671329	1.94897959183673	52	49
class:Synergistia	2.31492	3.2	5	5
class:Tepidiformia	2.74695		1	
class:Thermococci	1.93358968518519	1.03571428571429	30	28
class:Thermodesulfobacteria	1.91658428571429	1.25	7	4
class:Thermoleophilia	6.35937	1	1	1
class:Thermomicrobia	3.45725	2	2	2
class:Thermoplasmata	1.70944818181818	1	11	9
class:Thermoprotei	2.0040890686986	1	53	42
class:Thermotogae	2.12116141025641	1.76190476190476	26	21
class:Tissierellia	2.11023194444444	3.33333333333333	12	9
class:Verrucomicrobiae	5.05116694444444	3	4	2
class:Vicinamibacteria	7.48031	1	1	1
class:Zetaproteobacteria	2.419635	1.5	2	2
cohort:Paraneoptera	4.09285		1	
family:Acaryochloridaceae	8.3616	2	1	1
family:Acetobacteraceae	3.53979307641196	4.22181818181818	43	33
family:Acholeplasmataceae	1.12962842857143	2.3	14	10
family:Acidaminococcaceae	2.4554775	4.75	4	4
family:Acidiferrobacteraceae	3.40729333333333	1	3	2
family:Acidilobaceae	1.51775	1	2	1
family:Acidimicrobiaceae	2.15816	2	1	1
family:Acidithiobacillaceae	3.09636722222222	2	6	4
family:Acidobacteriaceae	5.507668	1.125	10	8
